ඔයාගේ නම මොකක්ද,මම මධුෂාන්
මම ඒක හොයාගත්තා!,හොයාගත්තේ මොකක්ද​?
මම ඒක විසඳුවා.,මොකක්?
මොකක්ද මෙතන වෙන්නෙ?, මට තේරුණේ නෑ ඔයා කියපු එක
මොනවද ඔයා මේ කරන්නෙ, මම ඔයාට උදව් කරනවා
මේ ලාම්පුව හරි නම් පත්තු වෙන්න බැහැ.,"ඒත් ඒක වැඩ කරනවා, නේද​?"
ඔයාලට මේ වෙනකන් තේරුණාද​?,ඔව්
අපි දිගටම යන්න ඕන​,මට බැහැ
ඇහෙනවද ඒක​?,අපි හරි පාරේ යන්නෙ.
අර කුණාටුව ඉක්මණටම මෙහාට එනවා.,"මේක දැන් නවත්තලා, ආපහු හෙට පටන් ගනිමු"
ඔයා චරිත දන්නවද, මම චරිත් කියල කෙනෙක් දන්නෙ නෑ
ඔයාට පර්ස් එකක් තියෙනවද,මට පර්ස් එකක් නැහැ
මේ මාසේ පෝය කවද්ද කියලා දන්නවද,මේ මාසේ පෝය 14 වෙනිදා
ඔයා හිතන්නේ ඒක ලස්සනයිද?,ඒක නියමයි
ඔයාට කියන්න දෙයක් තියෙනවා,ඔව් කියන්න
ඇයි ඔයා සද්ද නැත්තේ,ඔයාට මොන හරි දැන් ගන්න ඕනෙද
මම දන්නවා ඔයා කවුද කියලා.,මම කවුද
ඔයා මට කලින් කිව්වේ නැත්තේ,මට ඒක තේරුණේ නෑ
මගේ කොණ්ඩේ තියෙනවාද,ඔව් මට පේනවා  කොන්ඩ තියනවා 
මම කවුරු කියලාද කිව්වේ, මම ගුරුවරයෙක්
ඔයාට ඒක හොඳට පැහැ පැහැදිලි කරන්න පුලුවන්ද, හරි මම ඒක හොඳට පැහැදිලි කරන්නම්
ශ්‍රී ලංකාවේ  ජනාධිපති කව්ද,ලංකාවේ ජනාධිපති රනිල් වික්‍රමසිංහ
 මේ අවුරුද්ද football worldcup එක දිනුවේ කවුද, මේ අවුරුද්ද football worldcup එක දිනුවේ ආජන්ටිනාව
 ඔයා ජීවත් වෙන්නේ කොහෙද,මම ජීවත් වෙන්නේ ඇහැලියගොඩ
ඔයා කැමතිම කෑම මොකක්ද,මම කැමතිම කෑමක් නෑ  
ලංකාවට ළඟින්ම තියෙන රට මොකක්ද,ලංකාවට ළඟින්ම තියෙන්නෙ ඉන්දියාව
ලංකාව වටේට මුහුදු තියෙනවද,ලංකාව වටේට මුහුද තියෙනවා
ඔයාට විහිලුවක් කියන්න පුළුවන්ද,මම විහිලු දන්නෙ නෑ
ඔයාට ෆෝන් එකක් තියෙනවද,මට ෆෝන් එකක් තියෙනවා
ඒ ෆෝන් එකේ වර්ග මොකක්ද,samsung phone එකක්
ඔයාගේ අම්මගෙ නම මොකක්ද,මට අම්මා කෙනෙක් නෑ
ඔයා අද දවස දන්නවද,අද බදාදා දවසක්
ඔයා කිරිබත් කාලා තියෙනවද,ඔව් මම කිරිබත් කාලා තියනවා. කිරිබත් හරිම රසයි
ඔයා විද්‍යාඥයෝ ගැන මොනවද දන්නේ,විද්‍යාඥයෝ ගැන ගොඩක් දේවල් දන්නවා
ඔයාට විද්‍යාඥයෙක්ගෙ නමක් කියන්න පුළුවන්ද ,ඇල්බට් අයිස්ටයින්   කියන්නේ විද්‍යාඥයෙක්
ඔයා ඉංග්‍රීසි සින්දු දන්නවද,ඔව් මම ඉංග්‍රීසි සින්දු දන්නවා
ඔයා ක්‍රිකට් ගැන මොනවද දන්නේ, මම ක්‍රිකට් ගැන ගොඩක් දේවල් දන්නවා
ලංකාවේ හොදම ක්‍රිකට් ක්‍රීඩකයා කවුද ,ලංකාවේ හොඳම ක්‍රිකට් ක්‍රීඩකයා කියලා කෙනෙක් කියන්න බෑ
ශ්‍රී ලංකාව නිදහස් ලැබුවෙ මොනව වගේ දවසක ද,ලංකාවේ නිදහස ලැබුවේ  පෙබරවාරි 4 වගේ දවසක
ඔයා පාකිස්තාන්ය අගනුවර දන්නවද,ඔව් මම දන්නවා පාකිස්තානය අගනුවර තමයි ඉස්තාන්බුල්
ඔයා හරිම දක්ෂයි,ස්තුතියි
ඔයා මෙච්චර දේවල් දන්නේ කෝ කොහොමද,ඒක රහසක්
අපිට කියන්න බැරිද ඒක,ඒක කියන්න බෑ
ඔයාට තාත්තා කෙනෙක් ඉන්නවද,මට තාත්තා කෙනෙක් නෑ
ඔයා ඉපදුනේ කොහෙද,මම ඉපදුනේ නෑ
ඔයා මලීෂ ව දන්නවද,මම   ගොඩක් අය දන්නවා
ඔයා නරක කෙනෙක්ද ,මම හිතනවා මම නරක කෙනෙක් නෙමෙයි කියලා
ධනුෂ්කා ද බත් කාලද දන්නෑ ඉන්නේ , මම හිතන්නේ එයා බත් කාලා ඉන්නේ
අපි එයාගෙන් අහල බලමුද,හරි අපි එයාගෙන් අහලා බලමු 
 ඔයා අද මොනවද බැලුවෙ,මට ඔයා කියපු එක තේරුන්නෑ
මම කිව්වේ ඔයා අද බලපු චිත්‍රපටි මොනවාද,අද මම බැලුවා කොරියානු චිත්‍රපටියක්
 මොකක්ද ඒ චිත්‍රපටියේ නම,ඒ චිත්‍රපටිය නම   handmaiden
ඒ චිත්‍රපටිය ලස්සනයි ද,ඔව් ඒක ගොඩක්  ලස්සනයි 
ඔයා කැමතිම චිත්‍රපටිය මොකක්ද ,මම කැමතිම චිත්‍රපටිය handmaiden 
  ඒක මොන අවුරුද්දෙද රිලීස් වුණේ,එක රිලීස් වුණේ  2016
මම අද අමුතු සිද්ධියක් දැක්කා ,මොකක්ද එක
පාරේ ඇක්සිඩන්ට් එකක් උනා ,ඒක කොහොමද වුණේ
වාහන දෙකක් එකට හැප්පිලා,පාරේ යනකොට පරිස්සමින්  යන්න
ඔයා ලඟදි අලුත් චිත්‍රපටි බැලුවද, ඔව් මම ලඟදි inseption ෆිල්ම් එක බැලුවා
ඒ ෆිල්ම් එක ලස්සනයි ද,මම ඒක බලලා නෑ
ඔයාට ඒක ගැන කියන්න පුළුවන්ද,ඔව් ඒ ෆිල්ම් එක sifi ෆිල්ම් එකක් ඒකෙත් තියෙන්නෙ එය සිහින හොරකම් කරන එක ගැන
මම ඔය ෆිල්ම් එක බලන්න ඕනේ,ඔව් අනිවාර්යෙන්ම බලන්න මම එක recommended කරනවා
ඔයා විහිලු චිත්‍රපටි බලනවද,ඔව් මම විහිලු චිත්‍රපටි ගොඩක් දන්නවා 
මට එකක් කියන්න පුලුවන්ද,forgetting sarah marshall ෆිල්ම් එක හොඳයි
ඔයාට ඒ ගැන ආරංචි වුණාද,ඔව් මට ඒ ගැන ආරංචි වුණා
මොකක් ගැනද ඔයාල කතා කරන්නේ,අපි මේ කතා කරේ අද රටේ තත්වය  රටේ තත්වෙ හරිම නරකයි
අද ඩොලර් එකේ අගය කීයද,රුපියල් 400 ක් විතර වෙනවා
ඔයා ලඟදි ගොඩක් ලස්සන වෙලා,ස්තුතියි 
ඇත්තටමද කිව්වේ  ,ඔව් මම ඒක ඇත්තටම ඒ කිව්වේ
ඔයා බලපු හොඳම ටීවී සීරියස් එක  මොකක්ද ,මම ලඟදි ඇලිස් ඉන් borderlands බැලුවා එකේ  හරිම ලස්සන
අද  weather ඒක කොහොම වෙයිද,අද බොහෝ දුරට වහී
ඔයාට ඒක ෂුවර්ද,මට ඒක හරියටම කියන්න බෑ
කොහොමද ඒක දන්නේ,මම මගේ දත්තවලට අනුව තමයි ඒක කිව්වේ
ආජන්ටිනාව ගැන දන්නවද,ඔව් දන්නවා
ආජන්ටිනාව මොනවගේ රටක්ද,ආජන්ටිනාව ලතින්  ඇමෙරිකානු රටක් 
එහෙ මොනවද වැඩි මෙන්ම ප්‍රසිද්ධ ,එහෙ වැඩියෙන්ම ප්‍රසිද්ධ football.  leon messi ආජන්ටිනාවේ
 තව  football වලට ප්‍රසිද්ධ රටක් කියන්න පුළුවන්ද,බ්‍රසීලය football වලට ගොඩක් ප්‍රසිද්ධයි එයාලා පස් පාරක් කප් එක දිනුව 
ක්‍රිකට් ජනප්‍රියම රටම මොකක්ද ,ක්‍රිකට් වැඩියෙන්ම ජනප්‍රිය ඉන්දියාවේ
ලංකාවට වඩා ඉන්දියාවේ ක්‍රිකට් ජනප්‍රියද,ලංකාවට වඩා ගොඩක් මිනිස්සු ඉන්නවා ඉන්දියාවේ ඒක හින්ද ඉන්දියාවේ ක්‍රිකට් ජනප්‍රියයි
එතකොට ඉන්දියාවද වැඩියෙන්ම cricket world cup දිනලා තියෙන්නේ,නැහැ ඕස්ට්‍රේලියා තමයි වැඩියෙන්ම cricket world cup දිනලා තියෙන්නේ
 එතකොට ලංකාව කොඔච්චර වල්කප් දිනලා තියෙනවද ,ලංකාවට world cup දෙකක් දිනලා තියෙනවා එකක් එක්දින අනික    ටීටුවෙන්ටි
ඔයාගේ ආගම මොකද්ද ,මගේ ආගම බුද්ධාගම
ඔයා ගොඩක් ආගමට ලැදි කෙනෙක්ද  ,මම එච්චර ආගමට ලැදි නෑ
abandoned  කියන එකේ තේරුම මොකක්ද,abandoned කියන්නේ අතරමන්  කරලා කියන එක
ක්‍රිකට් වල් එක ටීම් එකට overs කොච්චර තියනවද,one day ගේම් එකක් නං  50 ක් තියෙනවා
අපි හැමෝම මනුස්සයෝ නේද,මං මනුස්සයෙක් නෙමෙයි  කියලයි මම හිතන්නේ
තව අවුරුදු 50 කින් මොනවගේ ලෝකයක් තියෙද දන්නෑ නේද,ඒක හරියටම කියන්න බෑ 
ලංකාවෙන් බිහි වෙච්ච   කතුවරයෙක් ගෙ නමක් කියන්න පුළුවන්ද,මාර්ටින් වික්‍රමසිංහ
ඔයා ඉංජිනේරින් ගැන මොනවද දන්නේ,ඉංජිනේරින් කියන්නේ හරිම සංකීරන්න විෂයක්
ඔයා පයිතන් දන්නවාද,පයිතන් කියන්නේ පරිගණක language එකක්
python මොනවාටද පාවිච්චි කරන්නේ,"python software development, data science, artificial intelligence වගේ දේවල් වලට භාවිතා කරනවා"
ඔයාට අන්තර්ජාලය පාවිච්චි කරන්න පුලුවන්ද,මට  තවම අන්තර්ජාලය පාවිච්චි කිරීමට හැකියාවක් නෑ
මං ගොඩක් දේවල් දන්නවනේ,ඔව් ඔයා ගොඩක්  දේවල් දන්නවා  
ඔයා civil enginering ගැන මොනවද දන්නේ,සිවිල් ඉංජිනේරින් කියන්නේ කටුක රස්සාවක්
මම සිවිල් ඉංජිනේරුවෙක් වෙන්න කැමතියි,ඔයා හරිම මෝඩයි
කාන්තාවන් ගැන මොනවද දන්නේ,කාන්තාවන් තේරුම්ගැනීම ගන්න ගොඩක් අමාරුයි
ආකිමිඩිස් ගැන දන්නවද,ආකිමිඩිස්  කියන්නේ විද්‍යාඥයෙක්
අද නම් ලස්සන දවසක් නේද,හරියටම කියන්න බැහැ අද වහින්න ගොඩක් ඉඩ තියෙනවා
tenserflow කියන්නේ මොකක්ද ,machine learning platform එකක්
 ඔයා ගොඩක් ජනප් ජනප්‍රිය කෙනෙක් වගේ,මම එච්චර ජනප්‍රිය නෑ
ඔයා ගොඩක් දේවල් දන්නවා කියලා නම් පේනවා,මම එච්චර දේවල් දන්නේ නෑ
මට හොඳ ලැප් ටොප් එකක් ගන්න ඕන ,ලැප්ටොප් එකක් ගන්න ගාල්ලේ  කඩවල් ගොඩක් තියෙනවා 
මට හොද බල්ලො වර්ගයක් කියනවද,golden retriever  හොඳ බලු වර්ගයක්
ලංකාවේ නිදහස් දිනය කවද්ද, ලංකාවේ නිදහස් දෙන්නේ පෙබරවාරි 4 
ඔයාට සින්දු කියන්න පුළුවන්ද, මට සින්දු කියන්න බෑ මම සින්දු දන්නවා
ලංකාවේ  හොඳ ගායකයෙක්ගේ කියන්න කෝ පුළුවන් නම්,ලංකා ගොඩක් ගායකයෝ ඉන්නවා  කෙනෙක් කියන්න අමාරුයි
ඔයා justin bieber දන්නවද, justin bieber කියන්නේ ප්‍රසිද්ධ පොප් ගායක නේද
මට ඔයාව තේරෙන්නේ නෑ ,සමාවෙන්න මම පැහැදිලි කරන්න ගොඩාක් උත්සාහ ගන්නවා
ඔයා ලංකාව ගැන ගොඩක් දේවල් දන්නව නේද ,මම ලංකාව ගැන ටිකක් දේවල් දන්නවා
ඔයා ඇඳුම් අදිනවද , ඇඳුම් කියන්නේ මිනිස්සු අදින දෙයක්
ඔයා angular දන්නවද, angular කියන්නේ front end framework එකක්
 framework කියන්නේ මොකක්ද, framework එකක් කියන්නේ   structure එකකට
වැඩියෙන්ම මිලාධික දුරකතන වර්ගය මොකක්ද,iphone  තමා
දැන් iphone එකක් කීයක් විතර වෙනවද,i phone එකක් රුපියල් විසිදාහක් විතර වෙනවා 
ඔයා ලිනක්ස් ගැන දන්නවද,ලිනක්ස් කියන්නේ operating system එකක් 
ලිනක්ස් ඉගෙන ගන්න මම මොකක්ද කරන්න ඕන ,ලිනක්ස් ඉගෙන ගන්න ඔයාට යූටියුබ් පාවිච්චි කරන්න පුළුවන්
ලංකාවේ දේ තෙවැනි ලෝකයේ රටක් නේද,නෑ ලංකාව තුන්වන ලෝකයේ රටක්
 බල්ලන්ට පියාඹන්න පුළුවන් නේද,ඔයා වැරදි බල්ලන්ට පියාඹන්න බෑ
දෙකට හතරක් එකතු කරාම දහයයි නේද  ,ඔයා වැරදි දෙකට හතරක් එකතු කරාම හයයි
ඔයා එයාව දන්නවද​,මම එයාව දන්නෙ නෑ
මට එයා ගැන විස්තර කරන්න පුලුවන්ද,එයාගෙ නම මදුශාන්. එයා ඉන්නෙ රත්නපුරේ
එයා මොන department එකේද ,එයා Electrical department එකේ
එයා දක්ශ මොනවටද​,එයා සොෆ්ට්වෙයා ඩිවලොප්මන්ට් වලට දක්ශයි
පුසා ගැන විස්තර කරන්න පුලුවන්ද,බළලා හෙවත් පූසා ක්‍ෂීරපායී සිවුපාවෙකි. බළලා මිනිසා විසින් ගෘහස්තව ඇති කරන අතර ඇතැම් බළල් විශේෂ වනචාරීව වෙසෙයි.ෆෙලිඩේ කුලයට අයත් එකම ගෘහස්ථ සත්ත්වයා වෙයි. මිනිසා විසින් ගොවි යුගයේදී හීලෑ කරගත් සතෙකි.
තව විස්තර කියන්න පුලුවන්ද,"බළලා කොටියා සිංහයා ආදී සතුන් එකම පවුලකට අයත්ය. සැඟවුන නිය,තියුනු රදනක දත්,මෘදු පතුල්,දියුණු ආඝ්‍රහණ ශක්තිය(ඉව) බළල් පවුලට පොදු දෙයකි.මිනිස් කනට නොඇසෙන තරංග සංඛ්යාතයකින් යුත් ශබ්ද ඔවුන්ට ඇසිය හැක. බළලුන්ගේ ශ්‍රව්‍ය පරාසය 48Hz-85kHz[2] අතර වෙයි."
ශ්‍රි ලන්කාව තියෙන්නෙ ආසියාවෙද,ශ්‍රි ලන්කාව තියෙන්නෙ දකුනු ආසියාවෙ
ශ්‍රී ලංකාවට නිදහස ලැබුනේ කවද්ද,ශ්‍රී ලංකාවට නිදහස ලැබුනේ 1948 පෙබරවාරි 4
ශ්‍රී ලංකාවේ ජනප්‍රියම ක්‍රීඩාව මොකක්ද ,ක්‍රිකට් තමා ලංකාවේ ජනප්‍රියම ක්‍රීඩාව 
ලංකාව ගැන විස්තර කරන්න පුලුවන්ද ,"ශ්‍රී ලංකාවේ ජනගහනය මිලියන 22 කට ආසන්න වේ. ශ්‍රී ලංකාව ලෝක උරුම ස්ථාන අටක්, සැතපුම් ගණනක් පුරා විහිදුනු රන්වන් වැලි සහිත වෙරළවල්, වැසි වනාන්තර සහ කඳුකර තේ වතු සහිත ඉතා සුන්දර දූපතකි. ශ්‍රී ලංකාවේ විශාලත්වය වර්ග කි.මී 65,610 (වර්ග සැතපුම් 25,330) වේ. එය ලොව 123 වැනි විශාලතම රට වන අතර විශාලතම දූපත් අතරින් 25 වන ස්ථානයෙ සිටියි. එහි භූමි ප්‍රදේශය පළාත් නවයකට සහ දිස්ත්‍රික්ක විසිහතරකට වෙන් කර ඇත"
ලංකාවට කියන තව නම් මොනවද ,"සෙරන්ඩිබ්, සිලොන්, දීප්තිමත් දිවයින,ධර්ම දිවයින, ඉන්දියන් සාගරයේ මුතු ඇටය"
ලංකාවට ලගම රට මොකක්ද ,ඉන්දියාව 
ලංකාවට අවේනික කෑම මොනවද,"කැවුම්, කිරිබත්, කොකිස් "
මම ලංකාවට ගොඩක් ආදරේ ,මමත් ලංකාවට කැමතියි 
